age,children,bmi,smoker,region,gender,bought
28,0,30.9,no,northwest,male,no
37,0,26.4,yes,southeast,female,yes
21,0,29,no,northwest,male,no
64,0,37.9,no,northwest,male,yes
58,0,22.8,no,southeast,female,yes
24,4,33.6,no,northeast,male,no
31,2,27.6,no,northeast,male,no
39,3,22.8,no,northeast,female,yes
47,0,27.8,yes,southeast,female,yes
30,3,37.4,no,northeast,male,no
18,0,38.2,yes,southeast,male,no
22,2,34.6,no,northeast,female,no
23,1,35.2,no,southwest,male,no
33,1,27.1,yes,southwest,male,no
27,0,26,no,northeast,male,no
45,2,25.2,no,northeast,female,yes
57,0,31.8,no,northwest,female,yes
47,1,32.3,no,southwest,male,yes
42,1,29,no,southwest,female,yes
64,0,39.7,no,southwest,female,yes
38,2,19.5,no,northwest,female,yes
61,3,36.1,no,southwest,male,yes
53,2,26.7,no,southwest,female,yes
44,0,36.5,no,northeast,female,yes
19,0,28.9,yes,northwest,female,no
41,2,34.2,no,northwest,male,yes
51,3,33.3,no,southeast,male,yes
40,2,32.3,no,northwest,male,yes
45,0,39.8,no,northeast,male,yes
35,3,34.3,no,southeast,male,yes
53,0,28.9,no,northwest,male,yes
30,3,24.4,yes,southwest,male,no
18,0,41.1,no,southeast,male,no
51,1,36,no,southeast,male,yes
50,1,27.6,yes,southwest,female,yes
31,1,29.3,no,southeast,female,no
35,3,27.7,no,southwest,female,yes
60,0,37,no,northeast,male,yes
21,0,36.9,no,northwest,male,no
29,3,22.5,no,northeast,male,no
62,0,29.9,no,southeast,female,yes
39,0,41.8,no,southeast,female,yes
19,0,27.6,no,southwest,male,no
22,0,23.2,no,northeast,female,no
53,0,20.9,yes,southeast,male,yes
39,2,31.9,no,northwest,female,yes
27,0,28.5,yes,northwest,male,no
30,2,44.2,no,southeast,male,no
30,1,22.9,no,northeast,female,no
58,0,33.1,no,southwest,female,yes
33,0,24.8,yes,northeast,male,no
42,1,26.2,no,southeast,female,yes
64,0,36,no,southeast,female,yes
21,1,22.3,no,southwest,male,no
18,0,42.2,yes,southeast,female,no
23,0,26.5,no,southeast,male,no
45,0,35.8,no,northwest,female,yes
40,1,41.4,no,northwest,female,yes
19,0,36.6,no,northwest,female,no
18,0,30.1,no,southeast,male,no
25,1,25.8,no,northeast,male,no
46,3,30.8,no,southwest,female,yes
33,3,42.9,no,northwest,female,no
54,2,21,no,southeast,male,yes
28,2,22.5,no,northeast,male,no
36,2,34.4,no,southeast,male,yes
20,0,31.5,no,southeast,female,no
24,0,24.2,no,northwest,female,no
23,3,37.1,no,southwest,male,no
47,1,26.1,yes,northeast,female,yes
33,0,35.5,yes,northwest,female,no
45,1,33.7,no,southwest,male,yes
26,0,17.7,no,northwest,male,no
18,0,31.1,no,southeast,female,no
44,2,29.8,no,southeast,female,yes
60,0,24.3,no,northwest,male,yes
64,2,31.8,no,northeast,female,yes
56,2,31.8,yes,southeast,male,yes
36,1,28,yes,northeast,male,yes
41,3,30.8,yes,northeast,male,yes
39,1,21.9,no,northwest,male,yes
63,0,33.1,no,southwest,male,yes
36,0,25.8,no,northwest,female,yes
28,2,23.8,no,northwest,female,no
58,0,34.4,no,northwest,male,yes
36,1,33.8,no,northwest,male,yes
42,2,36,no,southeast,male,yes
36,0,31.5,no,southwest,male,yes
56,0,28.3,no,northeast,female,yes
35,2,23.5,no,northeast,female,yes
59,0,31.4,no,northwest,female,yes
21,0,31.1,no,southwest,male,no
59,0,24.7,no,northeast,male,yes
23,2,32.8,yes,southeast,female,no
57,0,29.8,yes,southeast,female,yes
53,0,30.5,no,northeast,male,yes
60,0,32.5,yes,southeast,female,yes
51,1,34.2,no,southwest,female,yes
23,1,50.4,no,southeast,male,no
27,0,24.1,no,southwest,female,no
55,0,32.8,no,northwest,male,yes
37,0,30.8,yes,northeast,female,yes
61,2,32.3,no,northwest,male,yes
46,0,35.5,yes,northeast,female,yes
53,2,23.8,no,northeast,female,yes
49,3,23.8,yes,northeast,female,yes
20,0,29.6,no,southwest,female,no
48,0,33.1,yes,southeast,female,yes
25,0,24.1,yes,northwest,male,no
25,1,32.2,no,southeast,female,no
57,0,28.1,no,southwest,male,yes
37,2,47.6,yes,southwest,female,yes
38,3,28,no,southwest,female,yes
55,2,33.5,no,northwest,female,yes
36,0,19.9,no,northeast,female,yes
51,0,25.4,no,southwest,male,yes
40,2,29.9,no,southwest,male,yes
18,0,37.3,no,southeast,male,no
57,1,43.7,no,southwest,male,yes
61,0,23.7,no,northeast,male,yes
25,3,24.3,no,southwest,female,no
50,0,36.2,no,southwest,male,yes
26,1,29.5,no,southeast,female,no
42,0,24.9,no,southeast,male,yes
43,1,30.1,no,southwest,male,yes
44,3,21.9,no,northeast,male,yes
23,0,28.1,no,northwest,female,no
49,1,27.1,no,southwest,female,yes
33,5,33.4,no,southeast,male,no
41,1,28.8,no,southwest,male,yes
37,2,29.5,no,southwest,female,yes
22,3,34.8,no,southwest,male,no
23,1,27.4,no,northwest,male,no
21,0,22.1,no,northeast,female,no
51,3,37.1,yes,northeast,female,yes
25,4,26.7,no,northwest,male,no
32,1,28.9,yes,southeast,male,no
57,0,29,yes,northeast,male,yes
36,0,30,no,northwest,female,yes
22,0,39.5,no,southwest,male,no
57,1,33.6,no,northwest,male,yes
64,0,26.9,yes,northwest,female,yes
36,4,29,no,southeast,female,yes
54,0,24,no,northeast,male,yes
47,2,38.9,yes,southeast,male,yes
62,0,32.1,no,northeast,male,yes
61,0,44,no,southwest,female,yes
43,2,20,yes,northeast,female,yes
19,1,25.6,no,northwest,male,no
18,0,40.3,no,southeast,female,no
19,0,22.5,no,northwest,female,no
49,0,22.5,no,northeast,male,yes
60,0,40.9,yes,southeast,male,yes
26,3,27.3,no,northeast,male,no
49,0,36.9,no,southeast,male,yes
60,0,35.1,no,southwest,female,yes
26,2,29.4,no,northeast,female,no
27,3,32.6,no,northeast,male,no
44,1,32.3,no,southeast,female,yes
63,3,39.8,no,southwest,male,yes
32,0,24.6,yes,southwest,female,no
22,1,28.3,no,northwest,male,no
18,0,31.7,yes,northeast,male,no
59,3,26.7,no,northwest,female,yes
44,1,27.5,no,southwest,female,yes
33,2,24.6,no,northwest,male,no
24,0,34,no,southeast,female,no
43,0,26.9,yes,northwest,female,yes
45,0,22.9,yes,northeast,male,yes
61,0,28.2,no,southwest,female,yes
35,1,34.2,no,southeast,female,yes
62,0,25,no,southwest,female,yes
62,0,33.2,no,southwest,female,yes
38,1,31,no,southwest,male,yes
34,0,35.8,no,northwest,male,no
43,0,23.2,no,southwest,male,yes
50,2,32.1,no,northeast,male,yes
19,2,23.4,no,southwest,female,no
57,1,20.1,no,southwest,female,yes
62,0,39.2,no,southeast,female,yes
41,1,34.2,no,southeast,male,yes
26,1,46.5,no,southeast,male,no
39,1,32.5,no,southwest,female,yes
46,5,25.8,no,southwest,male,yes
45,0,35.3,no,southwest,female,yes
32,2,37.2,no,southeast,male,no
59,0,27.5,no,southwest,female,yes
44,2,29.7,no,northeast,male,yes
39,5,24.2,no,northwest,female,yes
18,2,26.2,no,southeast,male,no
53,0,29.5,no,southeast,male,yes
18,0,23.2,no,southeast,male,no
50,1,46.1,no,southeast,female,yes
18,0,40.2,no,northeast,female,no
19,0,22.6,no,northwest,male,no
62,0,39.9,no,southeast,male,yes
56,1,35.8,no,southwest,female,yes
42,2,35.8,no,southwest,male,yes
37,1,34.2,yes,northeast,male,yes
42,0,31.3,no,northwest,male,yes
25,3,29.7,yes,southwest,male,no
57,0,18.3,no,northeast,male,yes
51,2,42.9,yes,southeast,male,yes
30,1,28.4,no,northwest,female,no
44,2,30.2,yes,southwest,male,yes
34,1,27.8,yes,northwest,male,no
31,1,39.5,no,southeast,male,no
54,1,30.8,yes,southeast,male,yes
24,1,26.8,no,northwest,male,no
43,1,35,yes,northeast,male,yes
48,1,36.7,no,northwest,male,yes
19,1,39.6,no,northwest,female,no
29,0,25.9,no,southwest,female,no
63,1,35.2,no,southeast,female,yes
46,3,24.8,no,northeast,male,yes
52,2,36.8,no,northwest,male,yes
35,1,27.1,no,southwest,male,yes
51,2,24.8,yes,northwest,male,yes
44,1,25.4,no,northwest,male,yes
21,2,25.7,no,northeast,male,no
39,5,34.3,no,southeast,female,yes
50,3,28.2,no,southeast,female,yes
34,0,23.6,no,northeast,female,no
22,0,20.2,no,northwest,female,no
19,0,40.5,no,southwest,female,no
26,0,35.4,no,southeast,male,no
29,0,22.9,yes,northeast,male,no
48,0,40.2,no,southeast,male,yes
26,1,29.2,no,southeast,male,no
45,3,40,no,northeast,female,yes
36,0,29.9,no,southeast,female,yes
54,1,25.5,no,northeast,male,yes
34,0,21.4,no,northeast,male,no
31,3,25.9,yes,southwest,male,no
27,1,30.6,no,northeast,female,no
20,5,30.1,no,northeast,male,no
44,1,25.8,no,southwest,female,yes
43,3,30.1,no,northwest,male,yes
45,1,27.6,no,northwest,female,yes
34,0,34.7,no,northeast,male,no
24,0,20.5,yes,northeast,female,no
26,1,19.8,no,southwest,female,no
38,2,27.8,no,northeast,female,yes
50,2,31.6,no,southwest,female,yes
38,1,28.3,no,southeast,male,yes
27,3,20,yes,northwest,female,no
39,3,23.3,no,northeast,female,yes
39,3,34.1,no,southwest,female,yes
63,0,36.9,no,southeast,female,yes
33,3,36.3,no,northeast,female,no
36,0,26.9,no,northwest,female,yes
30,2,23,yes,northwest,male,no
24,0,32.7,yes,southwest,male,no
24,0,25.8,no,southwest,male,no
48,0,29.6,no,southwest,male,yes
47,1,19.2,no,northeast,male,yes
29,2,31.7,no,northwest,male,no
28,2,29.3,no,northeast,male,no
47,3,28.2,yes,northwest,male,yes
25,2,25,no,northeast,male,no
51,1,27.7,no,northeast,male,yes
48,0,22.8,no,southwest,female,yes
43,2,20.1,yes,southeast,male,yes
61,4,33.3,no,southeast,female,yes
48,1,32.3,no,northwest,male,yes
38,0,27.6,no,southwest,female,yes
59,0,25.5,no,northwest,male,yes
19,1,24.6,no,northwest,female,no
26,2,34.2,no,southwest,female,no
54,3,35.8,no,northwest,female,yes
21,2,32.7,no,northwest,female,no
51,0,37,no,southwest,male,yes
22,3,31,yes,southeast,female,no
47,1,36.1,yes,southeast,male,yes
18,1,23.3,no,southeast,male,no
47,1,45.3,no,southeast,female,yes
21,0,34.6,no,southwest,female,no
19,1,26,yes,northwest,male,no
23,0,18.7,no,northwest,male,no
54,0,31.6,no,southwest,male,yes
37,2,17.3,no,northeast,female,yes
46,1,23.7,yes,northwest,female,yes
55,0,35.2,yes,southeast,female,yes
30,0,27.9,no,northeast,female,no
18,0,21.6,yes,northeast,male,no
61,0,38.4,no,northwest,male,yes
54,3,23,no,southwest,female,yes
22,2,37.1,yes,southeast,male,no
45,1,30.5,yes,northwest,female,yes
22,0,28.9,no,northeast,male,no
19,2,27.3,no,northwest,male,no
35,0,28,yes,northwest,female,yes
18,0,23.1,no,northeast,male,no
20,0,30.7,yes,northeast,male,no
28,0,25.8,no,southwest,female,no
55,1,35.2,no,northeast,male,yes
43,2,24.7,yes,northwest,female,yes
43,0,25.1,no,northeast,female,yes
22,1,52.6,yes,southeast,male,no
25,1,22.5,no,northwest,female,no
49,0,30.9,yes,southwest,male,yes
44,1,37,no,northwest,female,yes
64,0,26.4,no,northeast,male,yes
49,1,29.8,no,northeast,male,yes
47,3,29.8,yes,southwest,male,yes
27,0,21.5,no,northwest,female,no
55,0,27.6,no,northwest,male,yes
48,0,28.9,no,southwest,female,yes
45,0,31.8,no,southeast,female,yes
24,0,39.5,no,southeast,female,no
32,1,33.8,no,northwest,male,no
24,0,32,no,southeast,male,no
57,1,27.9,no,southeast,male,yes
59,1,41.1,yes,southeast,male,yes
36,3,28.6,no,northwest,male,yes
29,4,25.6,no,southwest,female,no
42,1,25.3,no,southwest,female,yes
48,2,37.3,no,southeast,male,yes
39,0,42.7,no,northeast,male,yes
63,1,21.7,no,northwest,male,yes
54,1,31.9,no,southeast,female,yes
37,1,37.1,yes,southeast,male,yes
63,0,31.4,no,northeast,male,yes
21,0,31.3,no,northwest,male,no
54,2,28.9,no,northeast,female,yes
60,0,18.3,no,northeast,female,yes
32,1,29.6,no,southeast,female,no
47,1,32,no,southwest,female,yes
21,0,26,no,northeast,male,no
28,0,31.7,yes,southeast,male,no
63,3,33.7,no,southeast,male,yes
18,2,21.8,no,southeast,male,no
32,1,27.8,no,northwest,male,no
38,1,20,no,northwest,male,yes
32,1,31.5,no,southwest,male,no
62,2,30.5,no,northwest,female,yes
39,5,18.3,yes,southwest,female,yes
55,0,29,no,northeast,male,yes
57,0,31.5,no,northwest,male,yes
52,1,47.7,no,southeast,male,yes
56,0,22.1,no,southwest,male,yes
47,0,36.2,yes,southeast,male,yes
55,0,29.8,no,northeast,female,yes
23,3,32.7,no,southwest,male,no
22,0,30.4,yes,northwest,female,no
50,4,33.7,no,southwest,female,yes
18,4,31.4,no,northeast,female,no
51,2,35,yes,northeast,female,yes
22,0,33.8,no,southeast,male,no
52,0,30.9,no,northeast,female,yes
25,1,34,no,southeast,female,no
33,2,19.1,yes,northeast,female,no
53,3,28.6,no,southwest,male,yes
29,1,38.9,no,southeast,male,no
58,0,36.1,no,southeast,male,yes
37,0,29.8,no,southwest,male,yes
54,0,31.2,no,southeast,female,yes
49,0,29.9,no,northwest,female,yes
50,2,26.2,no,northwest,female,yes
26,1,30,no,southwest,male,no
45,3,20.4,no,southeast,male,yes
54,1,32.3,no,northeast,female,yes
38,3,38.4,yes,southeast,male,yes
48,3,25.9,yes,southeast,female,yes
28,3,26.3,no,northwest,female,no
23,0,24.5,no,northeast,male,no
55,1,32.7,no,southeast,male,yes
41,5,29.6,no,northeast,male,yes
25,2,33.3,yes,southeast,male,no
33,1,35.8,yes,southeast,male,no
30,3,20,no,northwest,female,no
23,0,31.4,yes,southwest,female,no
46,2,38.2,no,southeast,male,yes
53,3,36.9,yes,northwest,female,yes
27,1,32.4,no,northeast,female,no
23,1,42.8,yes,northeast,female,no
63,0,25.1,no,northwest,female,yes
55,0,29.9,no,southwest,male,yes
35,2,35.9,no,southeast,female,yes
34,1,32.8,no,southwest,male,no
19,0,18.6,no,southwest,female,no
39,5,23.9,no,southeast,female,yes
27,2,45.9,no,southwest,male,no
57,0,40.3,no,northeast,male,yes
52,0,18.3,no,northwest,female,yes
28,0,33.8,no,northwest,male,no
50,3,28.1,no,northwest,female,yes
44,1,25,no,southwest,female,yes
26,0,22.2,no,northwest,female,no
33,0,30.3,no,southeast,male,no
19,0,32.5,yes,northwest,female,no
50,1,37.1,no,southeast,male,yes
41,3,32.6,no,southwest,female,yes
52,0,24.9,no,southeast,female,yes
39,2,32.3,no,southeast,male,yes
50,2,32.3,no,southwest,male,yes
52,3,32.8,no,northwest,male,yes
60,0,32.8,yes,southwest,male,yes
20,0,31.9,no,northwest,female,no
55,1,21.5,no,southwest,male,yes
42,0,34.1,no,southwest,male,yes
18,0,30.3,no,northeast,female,no
58,0,36.5,no,northwest,female,yes
43,3,32.6,yes,southeast,female,yes
35,1,35.8,no,northwest,female,yes
48,4,27.9,no,northwest,female,yes
36,3,22.1,no,northeast,female,yes
19,0,44.9,yes,southeast,male,no
23,2,23.2,no,northwest,female,no
20,0,30.6,no,northeast,female,no
32,0,41.1,no,southwest,female,no
43,1,34.6,no,northwest,female,yes
34,2,42.1,no,southeast,male,no
30,1,38.8,no,southeast,male,no
18,0,28.2,no,northeast,female,no
41,1,28.3,no,northwest,female,yes
35,0,26.1,no,northeast,female,yes
57,0,40.4,no,southeast,male,yes
29,2,24.6,no,southwest,female,no
32,2,35.2,no,southwest,male,no
37,1,34.1,no,northwest,female,yes
18,1,27.4,yes,northeast,male,no
43,2,26.7,yes,southwest,female,yes
56,0,41.9,no,southeast,female,yes
38,2,29.3,no,northwest,male,yes
29,2,32.1,no,northwest,male,no
22,0,27.1,no,southwest,female,no
52,1,24.1,yes,northwest,female,yes
40,1,27.4,no,southwest,female,yes
23,0,34.9,no,northeast,female,no
31,0,29.8,yes,southeast,male,no
42,1,41.3,no,northeast,female,yes
24,0,29.9,no,northwest,female,no
25,0,30.3,no,southwest,female,no
48,1,27.4,no,northeast,female,yes
23,1,28.5,yes,southeast,female,no
45,2,23.6,no,northeast,male,yes
20,3,35.6,yes,northwest,male,no
62,0,32.7,no,northwest,female,yes
43,1,25.3,yes,northeast,female,yes
23,0,28,no,southwest,female,no
31,2,32.8,no,northwest,female,no
41,1,21.8,no,northeast,female,yes
58,1,32.4,no,northeast,female,yes
48,0,36.6,no,northwest,female,yes
31,0,21.8,no,northwest,female,no
19,3,27.9,no,northwest,female,no
19,0,30,yes,northwest,female,no
41,0,33.6,no,southeast,male,yes
40,1,29.4,no,northwest,male,yes
31,2,25.8,no,southwest,female,no
37,2,24.3,no,northwest,male,yes
46,2,40.4,no,northwest,male,yes
22,0,32.1,no,northwest,male,no
51,1,32.3,no,northeast,male,yes
18,3,27.3,yes,southeast,female,no
35,1,17.9,no,northwest,male,yes
59,2,34.8,no,southwest,female,yes
36,2,33.4,yes,southwest,male,yes
37,1,25.6,yes,northeast,female,yes
59,1,37.1,no,southwest,male,yes
36,1,30.9,no,northwest,male,yes
39,2,34.1,no,southeast,male,yes
18,0,21.5,no,northeast,male,no
52,2,33.3,no,southwest,female,yes
27,1,31.3,no,northwest,female,no
18,0,39.1,no,northeast,male,no
40,0,25.1,no,southeast,male,yes
29,2,37.3,no,southeast,male,no
46,1,34.6,yes,southwest,female,yes
38,3,30.2,no,northwest,female,yes
30,1,21.9,no,northeast,female,no
40,2,25,no,southeast,male,yes
50,0,25.3,no,southeast,male,yes
20,0,24.4,yes,southeast,female,no
41,1,23.9,no,northeast,male,yes
33,1,39.8,no,southeast,female,no
38,2,16.8,no,northeast,male,yes
42,2,37.2,no,southeast,male,yes
56,0,34.4,no,southeast,male,yes
58,0,30.3,no,northeast,male,yes
52,3,34.5,yes,northwest,male,yes
20,0,21.8,yes,southwest,female,no
54,3,24.6,no,northwest,female,yes
58,0,23.3,no,southwest,male,yes
45,2,27.8,no,southeast,female,yes
26,0,31.1,no,northwest,male,no
63,0,21.7,no,northeast,female,yes
58,0,28.2,no,northwest,female,yes
37,3,22.7,no,northeast,male,yes
25,1,42.1,no,southeast,female,no
52,2,41.8,yes,southeast,male,yes
64,2,37,yes,southeast,male,yes
22,3,21.3,no,northwest,female,no
28,0,33.1,no,southeast,female,no
18,0,33.3,no,southeast,male,no
28,5,24.3,no,southwest,male,no
45,3,25.7,no,southwest,female,yes
33,4,29.4,no,southwest,male,no
18,0,39.8,no,southeast,female,no
32,1,33.6,yes,northeast,male,no
24,0,29.8,yes,northeast,male,no
19,0,19.8,no,southwest,male,no
20,0,27.3,yes,southwest,male,no
40,4,29.3,no,southwest,female,yes
34,0,27.7,no,southeast,female,no
42,0,37.9,no,southwest,female,yes
51,3,36.4,no,northwest,female,yes
54,1,27.6,no,northwest,female,yes
55,3,37.7,no,northwest,male,yes
52,0,23.2,no,northeast,female,yes
32,0,20.5,no,northeast,female,no
28,1,37.1,no,southwest,male,no
41,1,28.1,no,southeast,female,yes
43,1,29.9,no,southwest,female,yes
49,2,33.3,no,northeast,female,yes
64,0,23.8,yes,southeast,male,yes
55,0,30.5,no,southwest,female,yes
24,0,31.1,yes,northeast,male,no
20,0,33.3,no,southwest,female,no
45,3,27.5,no,southwest,male,yes
26,1,33.9,no,northwest,male,no
25,0,34.5,no,northwest,female,no
43,5,25.5,no,southeast,male,yes
35,1,27.6,no,southeast,male,yes
26,0,27.1,yes,southeast,male,no
57,0,23.7,no,southwest,male,yes
22,0,30.4,no,northeast,female,no
32,0,29.7,no,northwest,female,no
39,1,29.9,yes,northeast,male,yes
25,2,26.8,no,northwest,female,no
48,0,33.3,no,southeast,female,yes
47,2,27.6,yes,northwest,female,yes
18,0,21.7,yes,northeast,female,no
18,1,30,no,southeast,male,no
61,1,36.3,yes,southwest,male,yes
47,0,24.3,no,northeast,female,yes
28,0,17.3,no,northeast,female,no
36,1,25.9,no,southwest,female,yes
20,2,39.4,yes,southwest,male,no
44,1,34.3,no,southeast,male,yes
38,2,20,no,northeast,female,yes
19,0,34.9,yes,southwest,male,no
21,0,23.2,no,southeast,male,no
46,3,25.7,no,northwest,male,yes
58,0,25.2,no,northeast,male,yes
20,1,22,no,southwest,male,no
18,0,26.1,no,northeast,male,no
28,2,26.5,no,southeast,female,no
33,2,27.5,no,northwest,male,no
19,1,25.7,no,northwest,female,no
45,0,30.4,yes,southeast,male,yes
62,3,30.9,yes,northwest,male,yes
25,1,20.8,no,southwest,female,no
43,0,27.8,yes,southwest,male,yes
42,2,24.6,yes,northeast,male,yes
24,0,27.7,no,southeast,female,no
29,0,21.9,yes,northeast,female,no
32,4,28.1,yes,northwest,male,no
25,0,30.2,yes,southwest,female,no
41,2,32.2,no,southwest,male,yes
42,1,26.3,no,northwest,male,yes
33,0,26.7,no,northwest,female,no
34,1,42.9,no,southwest,male,no
19,2,34.7,yes,southwest,female,no
30,3,23.7,yes,northwest,female,no
18,1,28.3,no,northeast,male,no
19,0,20.6,no,southwest,female,no
18,0,53.1,no,southeast,male,no
35,4,39.7,no,northeast,male,yes
39,2,26.3,no,northwest,female,yes
31,3,31.1,no,northwest,male,no
62,0,26.7,yes,northeast,male,yes
62,0,38.8,no,southeast,male,yes
42,2,40.4,yes,southeast,female,yes
31,1,25.9,no,northwest,male,no
61,0,33.5,no,northeast,male,yes
42,0,32.9,no,northeast,female,yes
51,1,30,no,southeast,male,yes
23,2,24.2,no,northeast,female,no
52,2,38.6,no,southwest,male,yes
57,2,25.7,no,southeast,female,yes
23,0,33.4,no,southwest,female,no
52,3,44.7,no,southwest,female,yes
50,3,31,no,northwest,male,yes
18,0,31.9,no,northeast,female,no
18,0,36.9,no,southeast,female,no
21,0,25.8,no,southwest,female,no
61,0,29.1,yes,northwest,female,yes
